"","day","temp","dewp","wdsp","sndp","fog","NUM_CRIMES"
"709",6,41.4,29.9,5.3,999.9,0,0.47008547008547
"710",1,29.9,24,4.4,999.9,0,0.331623931623932
"711",5,36.3,22.7,6.6,999.9,0,0.724786324786325
"713",3,38.1,20.3,7.8,999.9,0,0.488888888888889
"714",4,36.2,21,4.5,999.9,0,0.523076923076923
"716",2,33.6,16.6,7,999.9,0,0.451282051282051
"737",1,35,26.5,7,999.9,0,0.452991452991453
"738",3,45.1,32.5,5.1,999.9,0,0.685470085470085
"749",1,30.1,15.5,9.3,999.9,0,0.420512820512821
"750",5,45.7,34.1,6.7,999.9,0,0.492307692307692
"753",3,43,39.6,6.3,999.9,0,0.475213675213675
"771",1,52.1,45.9,6,999.9,0,0.567521367521368
"776",3,33.3,21.8,8.9,999.9,0,0.288888888888889
"780",5,30.1,18,7.6,999.9,0,0.630769230769231
"816",2,37.2,28.8,6.4,999.9,0,0.44957264957265
"821",4,34.8,28.5,11.8,999.9,0,0.500854700854701
"824",2,32.7,22.9,6.8,999.9,0,0.687179487179487
"833",7,44,32.7,9.7,999.9,0,0.261538461538462
"839",5,52.4,39.4,7.6,999.9,0,0.770940170940171
"855",6,29.3,14.7,13.2,999.9,0,0.357264957264957
"864",7,30.5,14.1,11.4,999.9,0,0.328205128205128
"895",3,40.5,37.2,9.4,999.9,0,0.483760683760684
"896",4,33.4,18.8,9.7,999.9,0,0.478632478632479
"909",4,56.7,45.3,11.3,999.9,0,0.724786324786325
"913",7,29.5,22.7,11.3,999.9,0,0.11965811965812
"921",7,32,23.4,6.8,999.9,0,0.211965811965812
"937",4,31.7,21.9,13.1,999.9,0,0.41025641025641
"946",6,40.3,30.3,13.8,999.9,0,0.523076923076923
"949",2,42,37.3,11.7,999.9,0,0.44957264957265
"958",6,34.8,31.8,15.8,999.9,0,0.222222222222222
"1036",7,53.2,42.2,5.3,999.9,0,0.333333333333333
"1038",4,42.4,37.9,7.1,999.9,1,0.541880341880342
"1042",3,50.7,28.7,3.3,999.9,0,0.651282051282051
"1053",6,50.8,45.1,4.7,999.9,0,0.504273504273504
"1064",1,48.4,40.1,7.5,999.9,0,0.475213675213675
"1078",3,50,32.4,8.2,999.9,0,0.642735042735043
"1079",5,37.8,25.1,4.7,999.9,0,0.72991452991453
"1094",5,48.5,33.3,6.7,999.9,0,0.557264957264957
"1132",3,53.4,47.5,5.8,999.9,0,0.572649572649573
"1133",4,41.7,31.7,6.3,999.9,0,0.408547008547009
"1139",5,44.4,42.2,9.4,999.9,0,0.641025641025641
"1186",6,44.3,31.5,9.6,999.9,0,0.774358974358974
"1188",2,49.3,30.3,11.1,999.9,0,0.54017094017094
"1197",2,43.2,25.4,10.5,999.9,0,0.57948717948718
"1240",5,43.8,39.6,10,999.9,0,0.411965811965812
"1241",3,39.3,34.1,12.7,999.9,0,0.388034188034188
"1247",7,42,29,14.4,999.9,0,0.444444444444444
"1258",1,40.3,33.3,12.2,999.9,0,0.430769230769231
"1259",4,48.9,34,11.6,999.9,0,0.641025641025641
"1260",7,53.1,36.1,9.7,999.9,0,0.502564102564103
"1267",6,54.8,46.8,11.7,999.9,0,0.569230769230769
"1269",2,38.1,34.2,14.4,999.9,0,0.211965811965812
"1273",7,70.6,58.9,12.1,999.9,0,0.786324786324786
"1279",1,62.4,48.2,13.3,999.9,0,0.605128205128205
"1284",2,56.2,52.2,13,999.9,0,0.502564102564103
"1285",6,46.5,42,12.7,999.9,0,0.463247863247863
"1286",4,44.7,36.1,13,999.9,0,0.52991452991453
"1300",5,45.7,35.5,17.5,999.9,0,0.632478632478632
"1311",6,58.4,38,13.3,999.9,0,0.553846153846154
"1314",1,56.2,45.6,13.1,999.9,0,0.646153846153846
"1378",3,77.8,66,6.1,999.9,0,0.782905982905983
"1383",4,58.9,52.6,5.2,999.9,0,0.695726495726496
"1401",7,54.3,44.2,7.1,999.9,0,0.494017094017094
"1410",5,61.1,53.5,4.6,999.9,1,0.791452991452991
"1415",3,53.2,45.4,6.8,999.9,0,0.516239316239316
"1419",2,44.9,30.1,8.9,999.9,0,0.581196581196581
"1442",6,56.7,51.7,5.3,999.9,0,0.504273504273504
"1461",1,53.3,30.8,7,999.9,0,0.535042735042735
"1477",6,63.1,55,7.1,999.9,0,0.535042735042735
"1499",3,56.6,50.8,7.4,999.9,1,0.552136752136752
"1504",7,61,59,5.2,999.9,1,0.393162393162393
"1513",3,46.3,29.4,6.8,999.9,0,0.635897435897436
"1515",6,58,44.2,6.4,999.9,0,0.547008547008547
"1527",2,75.1,56.7,9.4,999.9,0,0.723076923076923
"1542",2,63.7,51.4,9.1,999.9,0,0.658119658119658
"1547",1,76.3,64.8,9,999.9,0,0.601709401709402
"1548",4,50.9,33.8,8.3,999.9,0,0.726495726495726
"1560",5,49,38.3,9.4,999.9,0,0.647863247863248
"1563",5,56.9,42.2,8.7,999.9,0,0.700854700854701
"1585",5,66.6,58.1,7.3,999.9,0,0.890598290598291
"1591",2,81.1,65.7,11.9,999.9,0,0.748717948717949
"1598",1,61.7,43.6,11.8,999.9,0,0.690598290598291
"1604",2,49.7,33.5,12.2,999.9,0,0.661538461538462
"1608",1,45.8,31,13.6,999.9,0,0.54017094017094
"1613",6,48.2,44.6,16.3,999.9,0,0.471794871794872
"1630",7,60.9,42.1,12.3,999.9,0,0.84957264957265
"1634",1,72.3,59.4,11.8,999.9,0,0.683760683760684
"1643",7,73.2,60.7,9.9,999.9,0,0.618803418803419
"1649",7,45.5,41.4,16.4,999.9,0,0.452991452991453
"1651",4,46.7,43.3,17.3,999.9,0,0.505982905982906
"1661",4,73.5,62.2,6.5,999.9,0,0.67008547008547
"1701",7,74,64.1,4.4,999.9,0,0.676923076923077
"1707",6,69.9,53.8,5.4,999.9,0,0.786324786324786
"1708",7,72.7,56.5,3.4,999.9,0,0.647863247863248
"1720",3,72.9,54.6,4.6,999.9,0,0.776068376068376
"1724",6,59.3,55.6,5.7,999.9,0,0.627350427350427
"1779",4,75.9,59.5,6.3,999.9,0,0.651282051282051
"1787",6,72.2,60.9,5.7,999.9,0,0.692307692307692
"1792",1,62.6,42.5,7.9,999.9,0,0.685470085470085
"1793",2,73.4,55.5,8.6,999.9,0,0.728205128205128
"1794",5,73.8,60,5.3,999.9,0,0.892307692307692
"1801",5,58.1,52.5,7.7,999.9,0,0.846153846153846
"1805",7,72,50.8,5.8,999.9,0,0.758974358974359
"1816",2,66,46.2,6.6,999.9,0,0.765811965811966
"1828",5,63.8,55.7,8.8,999.9,0,0.642735042735043
"1836",2,80.2,69.6,10.1,999.9,0,0.707692307692308
"1858",1,74.9,57.7,7,999.9,0,0.714529914529915
"1867",7,57.2,48.3,7.4,999.9,0,0.603418803418803
"1872",1,74.1,67,6.8,999.9,0,0.776068376068376
"1882",4,68.9,61,8.2,999.9,0,0.642735042735043
"1887",2,86.4,66.9,8.8,999.9,0,0.758974358974359
"1901",4,65.6,46.8,8.2,999.9,0,0.897435897435897
"1902",5,70.9,56.2,7.7,999.9,0,0.786324786324786
"1911",3,86.7,62.8,9.5,999.9,0,0.733333333333333
"1918",3,66.7,55.8,10.3,999.9,0,0.776068376068376
"1927",4,67,59.9,11.5,999.9,0,0.671794871794872
"1930",1,72.4,62.5,7.3,999.9,0,0.593162393162393
"1960",3,73.4,51.2,11,999.9,0,0.969230769230769
"1981",3,71.6,64,11.8,999.9,0,0.65982905982906
"1988",4,65.6,57.5,10.8,999.9,1,0.528205128205128
"1990",6,80.9,66.3,9.3,999.9,1,0.765811965811966
"2026",6,80,63.9,2.8,999.9,0,0.723076923076923
"2031",2,80.5,57.2,4.1,999.9,0,0.842735042735043
"2040",7,82.2,68.6,4.2,999.9,0,0.676923076923077
"2048",6,79.7,54.3,4.4,999.9,0,0.717948717948718
"2059",6,82.6,70.7,7.6,999.9,0,0.817094017094017
"2068",6,80,60.4,3.1,999.9,0,0.769230769230769
"2076",7,83.2,66.9,7,999.9,0,0.72991452991453
"2097",4,74,53.2,6.7,999.9,0,0.717948717948718
"2100",5,75.6,55.6,6.2,999.9,0,0.642735042735043
"2112",5,77.3,59.2,6.1,999.9,0,0.916239316239316
"2115",2,80.2,67,5.7,999.9,0,0.745299145299145
"2122",7,77.4,61.2,5.2,999.9,0,0.564102564102564
"2126",2,86.2,74.5,7,999.9,0,0.711111111111111
"2133",1,77.7,51.8,4.1,999.9,0,0.646153846153846
"2141",7,84,65.5,5.2,999.9,0,0.664957264957265
"2155",4,71.8,56.6,7.8,999.9,0,0.712820512820513
"2164",2,78.3,63.8,6,999.9,0,0.65982905982906
"2170",1,78.4,69,5.2,999.9,1,0.699145299145299
"2175",4,90.8,73.2,9.6,999.9,0,0.611965811965812
"2189",3,77.6,62,8.5,999.9,0,0.753846153846154
"2229",5,79.7,70.6,5.1,999.9,0,0.705982905982906
"2231",3,71.7,57.3,10.8,999.9,0,0.794871794871795
"2235",3,81.1,63.3,6.1,999.9,0,0.741880341880342
"2249",1,86.5,73.1,9.9,999.9,0,0.68034188034188
"2279",7,79,69.7,4.8,999.9,1,0.594871794871795
"2294",3,87.2,72,7.6,999.9,0,0.625641025641026
"2310",4,80.5,72.3,7.7,999.9,0,0.747008547008547
"2320",6,78.9,70.6,5.4,999.9,0,0.658119658119658
"2328",5,83.4,68.3,7,999.9,0,0.811965811965812
"2330",5,75.7,61.9,11.1,999.9,0,0.818803418803419
"2335",1,81.8,69.6,7.4,999.9,0,0.747008547008547
"2372",2,73.6,55.1,2.1,999.9,0,0.512820512820513
"2374",1,71.6,57.4,3.8,999.9,0,0.629059829059829
"2387",1,83.4,71.1,5.5,999.9,0,1
"2391",1,70.1,56,4.4,999.9,0,0.651282051282051
"2398",4,71.3,52.9,3.6,999.9,0,0.683760683760684
"2403",2,71.2,54.3,5.1,999.9,0,0.67008547008547
"2413",1,69.6,56.4,5.3,999.9,0,0.652991452991453
"2428",4,77.1,63.3,4.4,999.9,0,0.716239316239316
"2433",3,74.9,59.3,5.5,999.9,0,0.647863247863248
"2434",5,71.6,58.2,3.3,999.9,0,0.678632478632479
"2449",5,77.1,67,4.7,999.9,0,0.842735042735043
"2464",5,76.6,60.3,5,999.9,0,0.882051282051282
"2469",6,78.5,70.6,4.1,999.9,0,0.776068376068376
"2483",4,75.9,65.4,6.5,999.9,0,0.842735042735043
"2496",3,71,54.9,7.9,999.9,0,0.622222222222222
"2502",4,73.8,57,7.5,999.9,0,0.748717948717949
"2506",7,73.8,60.9,6.1,999.9,0,0.605128205128205
"2524",3,75.3,61,7.5,999.9,0,0.726495726495726
"2558",5,73.3,56,6.6,999.9,0,0.815384615384615
"2565",7,70.5,54.8,8.9,999.9,0,0.61025641025641
"2569",1,74.3,67.7,3.8,999.9,0,0.463247863247863
"2585",2,85.7,72.5,6.8,999.9,0,0.630769230769231
"2593",6,74.6,63.4,6.4,999.9,0,0.678632478632479
"2596",2,69.9,62,6.8,999.9,0,0.576068376068376
"2605",7,77.7,68.4,4.9,999.9,0,0.471794871794872
"2614",6,75.4,66.6,4.2,999.9,0,0.735042735042735
"2634",3,78.5,67.9,9.2,999.9,0,0.647863247863248
"2640",2,72.9,63.7,9.8,999.9,0,0.588034188034188
"2653",7,68.1,61.8,11,999.9,0,0.545299145299145
"2661",3,80.7,68.7,8.6,999.9,0,0.808547008547009
"2667",6,73.7,61.7,7.2,999.9,0,0.658119658119658
"2708",6,56,48.3,4.3,999.9,0,0.505982905982906
"2722",6,66.9,60.2,3.2,999.9,1,0.75042735042735
"2724",5,53.4,37.9,2.7,999.9,0,0.702564102564103
"2727",2,62.6,53.2,4.4,999.9,1,0.538461538461538
"2728",5,55.8,45.3,5.5,999.9,0,0.617094017094017
"2742",4,83.8,69.8,4.4,999.9,0,0.909401709401709
"2745",3,59,50.2,5,999.9,0,0.564102564102564
"2751",3,57.4,53.5,6.5,999.9,0,0.485470085470085
"2775",2,72,55.7,8.3,999.9,0,0.642735042735043
"2776",1,65,60.4,6.7,999.9,0,0.574358974358974
"2792",7,57.9,51.6,5.2,999.9,0,0.439316239316239
"2794",7,70.6,59.3,3.1,999.9,0,0.533333333333333
"2797",6,80.4,68.6,3.8,999.9,0,0.588034188034188
"2811",4,58.6,46.7,7.1,999.9,0,0.815384615384615
"2820",4,51.9,33.3,9.3,999.9,0,0.52991452991453
"2833",5,86.1,68.8,7,999.9,0,0.747008547008547
"2861",7,69.6,59,8.8,999.9,0,0.543589743589744
"2872",6,59.7,42.6,7,999.9,0,0.557264957264957
"2892",1,57.5,51.6,9,999.9,0,0.494017094017094
"2895",2,56.4,51.9,7.5,999.9,0,0.504273504273504
"2903",1,74.2,59.3,7.2,999.9,0,0.687179487179487
"2919",3,66.2,51.3,8.8,999.9,0,0.555555555555556
"2920",7,59.6,50.2,7.4,999.9,0,0.452991452991453
"2929",2,61.1,45.2,13.3,999.9,0,0.494017094017094
"2938",4,58.1,52.5,7,999.9,0,0.570940170940171
"2949",5,66.1,61.2,8.9,999.9,0,0.723076923076923
"2980",3,64,46.4,11.9,999.9,0,0.57948717948718
"2990",1,61.2,47.5,14,999.9,0,0.482051282051282
"2995",5,53.7,42.6,16.1,999.9,0,0.630769230769231
"2999",4,66.2,51.5,12.6,999.9,0,0.48034188034188
"3044",3,64.4,48.3,2.7,999.9,0,0.535042735042735
"3045",7,51.6,39.3,4.5,999.9,0,0.468376068376068
"3050",2,58.4,46.6,1.5,999.9,0,0.541880341880342
"3054",5,45.7,35.2,5.3,999.9,0,0.61025641025641
"3062",3,67,51,5.3,999.9,0,0.705982905982906
"3065",4,66.9,49.3,3.1,999.9,0,0.543589743589744
"3072",6,49.9,35.1,4.1,999.9,0,0.61025641025641
"3075",2,68.6,52,3.9,999.9,0,0.637606837606838
"3085",7,68.9,49.7,3.5,999.9,0,0.598290598290598
"3097",5,44.2,34,4.2,999.9,0,0.671794871794872
"3102",1,57.1,42,3.9,999.9,0,0.490598290598291
"3106",7,54.5,40.5,3.5,999.9,0,0.664957264957265
"3115",1,66.8,50.6,5.5,999.9,0,0.415384615384615
"3120",5,70.6,50.9,5.7,999.9,0,0.687179487179487
"3137",4,62.4,55,5.3,999.9,0,0.299145299145299
"3160",6,71.9,52.6,6.3,999.9,0,0.618803418803419
"3173",7,54.8,38.9,6.8,999.9,0,0.41025641025641
"3187",2,46.6,36.4,5,999.9,0,0.454700854700855
"3192",1,46.5,37.9,5.4,999.9,0,0.654700854700855
"3198",6,46.1,29.3,5.4,999.9,0,0.504273504273504
"3217",4,47.1,36.9,8.2,999.9,0,0.517948717948718
"3229",2,59.3,40.5,8.7,999.9,0,0.697435897435897
"3230",6,49.7,39.8,11.2,999.9,0,0.717948717948718
"3232",1,49,32.4,10.2,999.9,0,0.452991452991453
"3236",3,53,46.2,11.3,999.9,0,0.553846153846154
"3315",5,54.9,43.8,12.1,999.9,0,0.630769230769231
"3324",3,47.1,41.5,14.9,999.9,0,0.386324786324786
"3325",7,45.1,30.7,8.1,999.9,0,0.514529914529914
"3327",6,54.1,37.2,14.4,999.9,0,0.528205128205128
"3340",1,56.2,41.6,7.7,999.9,0,0.634188034188034
"3342",4,44.4,38.9,17.1,999.9,0,0.401709401709402
"3469",2,49.4,36.5,6.5,999.9,0,0.941880341880342
"3474",3,41.1,34.9,5.6,999.9,0,0.55042735042735
"3480",6,46.2,31.8,7,999.9,0,0.430769230769231
"3488",3,58.3,38.4,9.1,999.9,0,0.548717948717949
"3491",1,54.1,45.6,4.2,999.9,0,0.370940170940171
"3515",1,42.2,34.3,9.6,999.9,0,0.476923076923077
"3520",2,50.3,39.5,6.5,999.9,0,0.694017094017094
"3522",5,36,27.4,7.4,999.9,0,0.524786324786325
"3528",1,36.8,29.9,10.2,999.9,0,0.418803418803419
"3530",1,48.6,35.7,5,999.9,0,0.52991452991453
"3535",4,42.5,38.4,9.3,999.9,0,0.0991452991452991
"3538",6,45.9,33,8.6,999.9,0,0.58974358974359
"3545",6,53.8,46.5,11,999.9,0,0.384615384615385
"3547",3,42,23.2,9.9,999.9,0,0.394871794871795
"3552",2,42.9,38,10.9,999.9,0,0.341880341880342
"3558",5,46.9,40.4,12.1,999.9,0,0.48034188034188
"3569",5,47,36.6,9.6,999.9,0,0.601709401709402
"3584",2,51.2,49.2,7.7,999.9,0,0.372649572649573
"3591",7,43.5,40.9,10.8,999.9,0,0.295726495726496
"3593",7,46.8,38.9,12.2,999.9,0,0.452991452991453
"3594",4,32.1,13.2,10.5,999.9,0,0.441025641025641
"3607",4,36.8,29.1,10.8,999.9,1,0.362393162393162
"3630",7,52.5,38.3,11.6,999.9,0,0.492307692307692
"3632",6,47.7,29.3,13.8,999.9,0,0.441025641025641
"3635",7,58.6,44.9,16.1,999.9,0,0.48034188034188
"3636",5,38.2,16.4,11.7,999.9,0,0.473504273504273
"3640",3,33.8,17,9.1,999.9,0,0.411965811965812
"3665",3,48.3,45.3,12.4,999.9,0,0.411965811965812
"3670",4,48.6,43.4,17.7,999.9,0,0.355555555555556
"3674",2,40.8,31.8,21,999.9,0,0.408547008547009
"3724",2,41.3,29.1,4.1,999.9,0,0.552136752136752
"3727",6,29.7,23.6,4.3,999.9,0,0.278632478632479
"3743",4,36.8,23.3,4.5,999.9,0,0.683760683760684
"3765",1,35.6,22.9,6.5,999.9,0,0.45982905982906
"3799",6,19.3,5.3,7.1,999.9,0,0.391452991452991
"3807",5,37.9,29.5,6.7,999.9,0,0.593162393162393
"3810",6,43.4,35.4,8.6,999.9,0,0.381196581196581
"3824",3,39.6,37.8,5.1,999.9,1,0.485470085470085
"3836",4,37.3,33.7,6,999.9,0,0.388034188034188
"3837",1,34.5,25.4,6.2,999.9,0,0.102564102564103
"3840",7,30.8,18.8,8.7,999.9,0,0.312820512820513
"3845",7,33.1,27.3,6.8,999.9,1,0.305982905982906
"3851",5,28,17.5,8,999.9,0,0.355555555555556
"3855",4,29.7,20.6,5.7,999.9,0,0.302564102564103
"3859",5,40.7,36.6,4.3,999.9,1,0.418803418803419
"3860",6,30.2,22.3,7.3,999.9,0,0.138461538461538
"3880",6,36,32.8,8.8,999.9,0,0.239316239316239
"3883",2,38.4,29.2,8.8,999.9,0,0.558974358974359
"3886",3,27.2,15.9,7.2,999.9,0,0.34017094017094
"3894",2,35.8,25.4,11.5,999.9,0,0.379487179487179
"3896",5,31.1,19.9,8.2,999.9,0,0.507692307692308
"3901",5,30.6,21.7,8.5,999.9,0,0.461538461538462
"3908",3,31,18.8,7.5,999.9,0,0.309401709401709
"3909",1,45.1,34.7,10.2,999.9,0,0.490598290598291
"3925",1,37.5,30.6,8.3,999.9,0,0.482051282051282
"3930",4,37.1,29.2,9.2,999.9,0,0.360683760683761
"3948",3,45.1,43.5,9.4,999.9,0,0.439316239316239
"3971",7,46.7,40.3,12.7,999.9,0,0.394871794871795
"3990",2,36.9,31.6,9.5,999.9,0,0.227350427350427
"4002",4,47.8,42.1,15.2,999.9,0,0.482051282051282
"44",7,33.7,25.1,1.9,999.9,0,0.29635761589404
"48",3,41.8,29.4,4.3,999.9,0,0.44205298013245
"53",4,34.1,30.2,3.7,999.9,0,0.503311258278146
"65",3,29.4,23.7,3,999.9,0,0.564569536423841
"70",5,11.3,-0.4,5.5,5.1,1,0.105960264900662
"110",4,35.8,24.5,6.9,999.9,0,0.413907284768212
"111",6,17.3,8.9,6.5,3.9,0,0.264900662251656
"120",5,46.8,32,7.7,999.9,0,0.485099337748344
"140",1,35.3,27.2,10,1.2,0,0.339403973509934
"147",5,36.9,26.7,7.5,999.9,0,0.516556291390728
"160",7,20.1,12.1,6.6,3.9,0,0.25
"173",4,32.3,27.7,6.5,3.1,1,0.205298013245033
"176",7,23.9,19.7,9.8,5.1,0,0.100993377483444
"178",2,49.2,38.8,10,999.9,0,0.567880794701987
"183",6,22.2,17.2,7.4,7.1,1,0.158940397350993
"187",3,18.4,8.6,8.7,999.9,0,0.281456953642384
"199",6,40.8,27.4,7.9,999.9,0,0.400662251655629
"200",2,18.7,5.1,9,999.9,0,0.309602649006623
"214",2,40.2,28,5.8,999.9,0,0.460264900662252
"216",3,31,17.3,9,999.9,0,0.294701986754967
"228",4,20.3,8.7,11.9,999.9,0,0.210264900662252
"229",1,33.1,21.8,9.4,999.9,0,0.408940397350993
"255",5,19.7,13.3,11.9,5.1,0,0.216887417218543
"276",1,35,26.8,6.7,999.9,0,0.433774834437086
"277",7,29.5,19.6,11.7,999.9,0,0.317880794701987
"290",2,31,22.1,11.9,999.9,0,0.458609271523179
"301",6,32,23.2,12.6,1.2,0,0.309602649006623
"311",1,24.8,13.5,17.1,999.9,0,0.134105960264901
"312",2,36.4,32.6,9.8,999.9,0,0.369205298013245
"333",1,39.1,37,13.6,3.1,1,0.352649006622517
"379",4,37.6,33.2,3,999.9,0,0.43046357615894
"400",3,42.6,35.9,5.3,999.9,0,0.697019867549669
"404",2,33.5,22.1,5.3,999.9,0,0.450331125827815
"420",5,36.4,31.9,4.9,999.9,0,0.456953642384106
"422",7,31.7,19.9,7.5,999.9,0,0.271523178807947
"437",4,27.5,17.6,8.1,999.9,0,0.344370860927152
"440",7,35.1,28.9,5,999.9,0,0.20364238410596
"444",3,31.3,19.6,9.1,999.9,0,0.314569536423841
"454",6,35.9,23.6,7.8,999.9,0,0.235099337748344
"459",3,36.8,30.8,8.2,999.9,0,0.508278145695364
"462",1,32.5,20.6,5.3,999.9,0,0.157284768211921
"466",1,27.2,9.9,7,999.9,0,0.18046357615894
"475",4,35.7,33.2,4.5,999.9,0,0.324503311258278
"478",7,22.4,3.8,10.1,1.2,0,0.160596026490066
"492",6,36.8,31.5,9.6,999.9,0,0.375827814569536
"501",5,37.4,24.9,7.3,999.9,0,0.604304635761589
"502",4,40.2,33.6,7.5,999.9,0,0.412251655629139
"514",1,31.4,27.4,8.7,999.9,0,0.23841059602649
"526",3,37.8,30.8,7.1,999.9,0,0.456953642384106
"536",2,30.9,26.3,7.5,1.2,0,0.254966887417219
"581",6,25,15,11.8,999.9,0,0.283112582781457
"595",2,37.8,31,11.7,999.9,0,0.379139072847682
"604",1,36.4,22.4,11.2,999.9,0,0.326158940397351
"616",2,31.5,25.8,9.1,999.9,0,0.392384105960265
"619",5,33,31,13.3,1.2,1,0.269867549668874
"620",7,32.3,19.3,10,999.9,0,0.175496688741722
"621",6,14.7,1.4,15,1.2,0,0.150662251655629
"625",5,31.4,23.8,9.7,1.2,0,0.254966887417219
"642",3,48.8,37.4,14.1,999.9,0,0.420529801324503
"689",5,62.5,57.9,4.3,999.9,0,0.587748344370861
"726",7,70.5,54.5,6.8,999.9,0,0.493377483443709
"728",6,54.8,51.9,4.8,999.9,1,0.470198675496689
"731",2,57.9,39.5,6,999.9,0,0.506622516556291
"754",5,63.3,48.9,4.7,999.9,0,0.556291390728477
"760",1,28.5,17.8,7.8,999.9,0,0.236754966887417
"762",3,76.6,52.4,7.6,999.9,0,0.753311258278146
"765",1,70.3,58.9,7.6,999.9,0,0.592715231788079
"772",7,56.4,50.4,6.3,999.9,0,0.437086092715232
"773",5,46.1,39.1,8.4,999.9,0,0.529801324503311
"775",7,30.2,20.5,8.2,999.9,0,0.225165562913907
"777",4,72.5,53.4,4.5,999.9,0,0.592715231788079
"788",6,41.4,35.3,8.2,999.9,0,0.425496688741722
"808",6,69.7,53.5,7.8,999.9,0,0.743377483443709
"813",4,70.8,58.3,8.3,999.9,0,0.627483443708609
"817",4,45.4,33.2,8.7,999.9,0,0.541390728476821
"820",7,52.5,27,8.7,999.9,0,0.304635761589404
"856",3,64.2,46,7.9,999.9,0,0.51158940397351
"888",5,35.9,12.3,12.3,999.9,0,0.55794701986755
"918",5,37.2,32.2,9,999.9,0,0.43046357615894
"931",2,50.5,28.3,13.3,999.9,0,0.408940397350993
"932",2,75.2,52.1,12,999.9,0,0.614238410596026
"945",1,43.5,32.3,13.6,999.9,0,0.347682119205298
"954",3,62.4,44.1,12.6,999.9,0,0.480132450331126
"956",6,39,17.6,10.8,999.9,0,0.447019867549669
"960",1,59.7,48.6,13.1,999.9,0,0.481788079470199
"966",4,49,36.5,15.1,999.9,0,0.498344370860927
"983",6,33,24.3,17,999.9,0,0.263245033112583
"987",4,36.9,31,12,999.9,0,0.698675496688742
"988",3,59.9,37.1,18.9,999.9,0,0.544701986754967
"989",2,44.8,26.5,15.1,999.9,0,0.524834437086093
